site,lang,url_from_table,label,title,title_len,metadesc,desc_len,focus_keyphrase,related_keyphrases,h1
kyiv,uk,/,Головна,Ветеринарна клініка у Києві – Лікування собак та кішок,54,"Ветеринарна клініка ДОВІРА у Києві: хірургія, діагностика, терапія, стоматологія для собак та кішок. Досвідчені лікарі, сучасне обладнання, цілодобова допомога.",160,ветеринарна клініка київ,вет клініка київ; ветеринар київ,Ветеринарна клініка у Києві
kyiv,ru,/ru/,Главная,Ветеринарная клиника в Киеве – Лечение собак и кошек,52,"Ветеринарная клиника ДОВЕРИЕ в Киеве: хирургия, диагностика, терапия, стоматология для собак и кошек. Опытные врачи, современное оборудование, круглосуточная помощь",164,ветеринарная клиника,ветеринарная клиника киев; вет клиника; ветклиника киев; вет клиника киев; ветеринарная больница; ветеринар киев; ветлечебница киев; киев ветеринарная клиника; вет клиники киев; ветеринарная клиника киев цены,Ветеринарная клиника в Киеве
kyiv,uk,/services/,Послуги,Послуги,7,"Всі послуги для тварин: консультації, аналізи, вакцинація, хірургія. Турбота, досвід і сучасне обладнання",105,,,Послуги
kyiv,ru,/ru/services/,Услуги,Услуги,6,"Все услуги для животных: консультации, анализы, вакцинация, хирургия. Забота, опыт и современное оборудование",109,,,Услуги
kyiv,uk,/services/rehabilitation/,Реабілітація,Реабілітація тварин у Києві – відновлення собак та кішок після операцій,71,"Реабілітація собак та кішок після хірургії, травм, неврологічних та ортопедичних захворювань у Києві. Індивідуальна програма відновлення.",137,,,Реабілітація
kyiv,ru,/ru/services/rehabilitation/,Реабилитация,Реабилитация животных в Киеве – восстановление собак и кошек после операций,75,"Реабилитация собак и кошек после хирургии, травм, неврологических и ортопедических заболеваний в Киеве. Индивидуальная программа восстановления.",144,,,Реабилитация
kyiv,uk,/services/funeral-cremation-services/,Ритуальні послуги та кремація,Кремація тварин у Києві – ритуальні послуги для собак та кішок,62,"Індивідуальна та групова кремація собак та кішок у Києві. Гідне прощання, урна, доставка праху додому.",102,кремація тварини київ,евтаназія тварини,Ритуальні послуги та кремація
kyiv,ru,/ru/services/funeral-cremation-services/,Риутальные услуги и кремация,Кремация животных в Киеве – ритуальные услуги для собак и кошек,63,"Индивидуальная и групповая кремация собак и кошек в Киеве. Достойное прощание, урна, доставка праха домой.",106,кремация животных киев,эвтаназия животных киев цена; кремация животных киев цена; эвтаназия животных цена; эвтаназия животных киев; кремация животных киев отзывы; усыпление и кремация животных киев,Ритуальные услуги и кремация
kyiv,uk,/services/amputation/,Ампутація,Ампутація кінцівки у тварин у Києві – операції для собак та кішок,65,"Ампутація лап у собак та кішок за медичними показаннями у Києві. Сучасне знеболення, реабілітація після операції.",113,купірування хвоста у собак ціна,купірування хвоста у собак,Ампутація
kyiv,ru,/ru/services/amputation/,Ампутация,Ампутация конечности у животных в Киеве – операции для собак и кошек,68,"Ампутация лап у собак и кошек по медицинским показаниям в Киеве. Современное обезболивание, реабилитация после операции.",120,купирование ушей киев,ампутация лапы у кошки; ампутация лапы у собаки; ампутация лапы у кошки цена; купирование хвоста цена киев; купирование ушей киев цена,Ампутация
kyiv,uk,/services/mastectomy-surgery/,Мастектомія,Мастектомія у тварин у Києві – видалення пухлин молочних залоз у собак та кішок,79,"Хірургічне видалення пухлин молочних залоз у собак та кішок у Києві. Регіонарна та повна мастектомія, гістологія, постопераційний догляд.",137,,,М’якотканинна хірургія: мастектомія
kyiv,ru,/ru/services/mastectomy-surgery/,Мастектомия,Мастэктомия у животных в Киеве – удаление опухолей молочных желёз у собак и кошек,81,"Хирургическое удаление опухолей молочных желёз у собак и кошек в Киеве. Регионарная и полная мастэктомия, гистология, послеоперационный уход.",141,,,Мягкотканная хирургия: мастэктомия
kyiv,uk,/services/skin-soft-tissue-surgery/,Хірургія шкіри та м’яких тканин,Хірургія шкіри у тварин у Києві – видалення пухлин та гематом у собак та кішок,78,"Видалення новоутворень, гематом, абсцесів, кіст у собак та кішок у Києві. Хірургія шкіри та м'яких тканин, стерильні умови.",123,,,М’якотканинна хірургія: хірургія шкіри та м’яких тканин
kyiv,ru,/ru/services/skin-soft-tissue-surgery/,Хирургия кожи и мягких тканей,Хирургия кожи у животных в Киеве – удаление опухолей и гематом у собак и кошек,78,"Удаление новообразований, гематом, абсцессов, кист у собак и кошек в Киеве. Хирургия кожи и мягких тканей, стерильные условия.",126,,,Мягкотканная хирургия: хирургия кожи и мягких тканей
kyiv,uk,/services/thoracic-surgery/,Торакальна хірургія,Торакальна хірургія для тварин у Києві – операції для собак та кішок,68,"Операції на грудній клітці та плевральній порожнині у собак та кішок у Києві. Лікування пневмотораксу, пухлин, вроджених патологій.",131,,,М’якотканинна хірургія: торакальна хірургія
kyiv,ru,/ru/services/thoracic-surgery/,Торакальная хирургия,Торакальная хирургия для животных в Киеве – операции для собак и кошек,70,"Операции на грудной клетке и плевральной полости у собак и кошек в Киеве. Лечение пневмоторакса, опухолей, врождённых патологий.",128,,,Мягкотканная хирургия: торакальная хирургия
kyiv,uk,/services/soft-tissue-abdominal-surgery/,Оперативні втручання на органах черевної порожнини,Операції на черевній порожнині у тварин у Києві – для собак та кішок,68,"Лапаротомія, спленектомія, адреналектомія та інші операції на органах черевної порожнини у собак та кішок у Києві.",114,,,М’якотканинна хірургія: оперативні втручання на органах черевної порожнини
kyiv,ru,/ru/services/soft-tissue-abdominal-surgery/,Операции на органах брюшной полости,Операции на брюшной полости у животных в Киеве – для собак и кошек,66,"Лапаротомия, спленэктомия, адреналэктомия и другие операции на органах брюшной полости у собак и кошек в Киеве.",111,,,Мягкотканная хирургия: оперативные вмешательства на органах брюшной полости
kyiv,uk,/services/head-neck-surgery/,Операції в області голови та шиї,Операції на голові та шиї у тварин у Києві – хірургія собак та кішок,68,"Булотомія, ринопластика, палатопластика, резекція м'якого піднебіння у собак та кішок у Києві. Корекція вроджених дефектів дихання.",131,,,Хірургія: операції в області голови та шиї
kyiv,ru,/ru/services/head-neck-surgery/,Операции в области головы и шеи,Операции на голове и шее у животных в Киеве – хирургия собак и кошек,68,"Булотомия, ринопластика, палатопластика, резекция мягкого нёба у собак и кошек в Киеве. Коррекция врождённых дефектов дыхания.",126,,,Хирургия: операции в области головы и шеи
